fid,objectid,area,perimeter,air_020107,air_20108,r_code,ind_name,aiana,aiana_desc,ind_source,ind_scale,entity,org_code,fed_regist,region_cod,region_nam,agency_nam,self_gover,osgt_code,osgt_assoc,native_cor,mail_name,state,cnty_st,tot_area,tribe_area,allot_area,fed_area,labor_tot,hsgrad_pct,colgrad_pc,unemploy_p,inc_percap,pop_tot,tribal_num,treaty,tribal_est,gov_type,econ_sourc,gaming,med_fac,sq_miles,acres,agency_cod,poi_on_ima,field_veri,shape_leng,shape_le_1,shape_le_2,irmp_plan,short_name,shape_le_3,shape_area
193,0,11488573.1859,64309.853782,10374,758,R803,Fort Sill Apache Trust Land,TRUST,Trust land for which no reservation exists,LTM,"1:24,000",Fort Sill Apache Tribe of Oklahoma,B06803,true,SPL,Southern Plains,Anadarko Agency,false,,,,Fort Sill Apache Tribe of Oklahoma,OK,"Caddo, Comanche, Cotton, Kiowa & Tillman, OK",4628,40,4588,40,58,69.4,11,30,4682,102,339,Executive Order in 1971,"Constitution adopted on August 18, 1976",Business Committee,"Land lease for farming & grazing, government as employer, tourism, federal contracts & grants",false,"Health care provided by USPHS in Anadarko, hospitals in Lawton",4.435743,2838.825282,B06,,,64309.853986,0,0,,,64309.853986,11488573.0509
194,0,1535324.94733,4551.613737,120,11083,Z162,Fort Yukon,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Native Village of Fort Yukon,E03162,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.",Gwitchyaa Zhee Corporation,AK,unorganized borough AK,214479,0,0,0,234,49.4,2.3,27.4,6764,580,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1959),Indian Reorganization Act village council headed by a chief,Government; subsistence; construction; fishing; retail; tourism; transportation,false,health center,7.436866,379.378689,E03,,,4551.613763,0,0,,,4551.613763,1535324.96419
195,0,209227982.409,89920.124163,10820,252,R696,Fort Yuma (Quechan) Reservation,AIR,American Indian Reservation,GDSC,"1:24,000",Quechan Tribe of the Fort Yuma Indian Reservation. California & Arizona,H63696,true,WES,Western,Fort Yuma Field Office,false,,,,,AZ,"Quechan Imperial, CA/Yuma, AZ",43942,43942,0,0,935,0,0,0,0,0,0,"Executive Order on January 9, 1884","1934 IRA, constitution adopted on December 18, 1936 & amended November 18, 1974",5 member Tribal Council,"Land leases, housing construction, sand/gravel lease, government employer, small businesses, tourism",true,"IHS Fort Yuma Service Unit, provides hospital & field health services",80.783047,51700.232918,H63,,,89920.123992,0,0,,,89920.123992,209227982.1
196,0,1534126.85084,4461.50497,179,11024,Z165,Gakona,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Native Village of Gakona,E01165,true,ALA,Alaska,Anchorage Field Office,true,OSGT807,Copper River Native Assn.,"Ahtna, Incorporated","Ahtna, Inc.",AK,unorganized borough AK,74715,0,0,0,12,100,0,0,13512,25,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Traditional village council,Retail; tourism; transportation,false,none; clinic in Gulkana only a few miles away by road,4.195838,379.082889,E01,,,4461.504987,0,0,,,4461.504987,1534126.86376
197,0,1534024.82852,4504.548682,67,11136,Z290,Galena,ANV,Alaska Native Village,TIGER95,"1:100,000",Galena Village (aka Louden Village),E03290,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.","Gana-a'Yoo, Ltd.",AK,unorganized borough AK,115200,0,0,0,502,65.5,2.3,9.2,8441,833,0,Alaska Native Claims Settlement Act (1971),Incorporated as a first-class city (1971),Traditional village council headed by a chief,Transportation; government; retail; construction; manufacturing; tourism,false,clinic,22.89667,379.05752,E03,,,4504.548683,0,0,,,4504.548683,1534024.82952
198,0,1535406.78253,4487.300886,6,11197,Z167,Gambell,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Gambell,E04167,true,ALA,Alaska,Nome Agency,true,OSGT167,,Bering Straits Native Corporation,Sivuqaq Incorporated,AK,unorganized borough AK,1135950,0,0,0,119,43.5,1.6,16.8,3767,525,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1963),Indian Reorganization Act council,Subsistence; arts & crafts; tourism; government; mining; retail; transportation,false,clinic,12.264274,379.399176,E04,,,4487.300901,0,0,,,4487.300901,1535406.79392
199,0,1534033.81646,4456.144782,115,11088,Z170,Georgetown,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Native Village of Georgetown,E02170,true,ALA,Alaska,Bethel Field Office,false,,,Calista Corporation,Kuskokwim Corporation,AK,unorganized borough AK,69120,0,0,0,0,0,0,0,0,0,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Village council,Subsistence,false,none,24.51451,379.0599,E02,,,4456.144722,0,0,,,4456.144722,1534033.78459
200,0,42198447.8082,33189.514335,10866,188,R609,Gila Bend Reservation,AIR,American Indian Reservation,GDSC,"1:24,000",Tohono O'odham Nation of Arizona - Gila Bend,H54610,true,WES,Western,Papago Agency,false,,,,Tohono O'odham - Gila Bend,AZ,"Pima, AZ",10000,0,0,0,0,0,0,0,0,300,0,Executive Order in 1882,Incorporated in 1962,,,false,,16.292852,10427.240464,H54,,,33189.51429,0,0,,,33189.51429,42198447.7958
201,0,1517365681.79,243740.088324,10761,350,R614,Gila River Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","Gila River Indian Community of the Gila River Indian Reservation,Arizona",H57614,true,WES,Western,Pima Agency,true,OSGT614,,,Gila River Pima-Maricopa Indian Community,AZ,"Pinal & Maricopa, AZ",371933,280121,94240,0,4500,0,0,39,0,0,11550,"Act of February 28, 1859 & Executive Orders of 1876 & 1915","1934 IRA, constitution & bylaws adopted on June 15, 1934",17 member Tribal Council,"Industrial parks, agriculture, airport, tourism, recreation, small businesses",true,"Health care provided by IHS, Sacaton Service Unit, Phoenix Service Unit, HuHuKam Memorial Hospital",586.270549,375206.494261,H57,,,243740.088359,0,0,,,243740.088359,1517365681.65
202,0,1533839.47309,4500.475768,30,11173,Z177,Golovin,ANV,Alaska Native Village,TIGER95,"1:100,000",Chinik Eskimo Community (Golovin),E04177,true,ALA,Alaska,Nome Agency,true,OSGT816,"Kawerak, Inc.",Bering Straits Native Corporation,Golovin Native Corporation,AK,unorganized borough AK,99860,0,0,0,59,46.7,0,15.3,5899,127,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1971),Traditional village council,Subsistence; fishing; government; retail; transportation,false,clinic,3.817237,379.011788,E04,,,4500.47581,0,0,,,4500.47581,1533839.49693
203,0,1533456.41702,4427.174989,128,11075,Z325,Goodnews Bay,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Goodnews Bay,E02325,true,ALA,Alaska,Bethel Field Office,true,OSGT812,Assoc. Village Council Presidents,Calista Corporation,"Kuitsarak, Incorporated",AK,unorganized borough AK,115200,0,0,0,68,33.3,0,3.1,3562,241,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1970),Traditional village council,Government; retail; fishing; subsistence,false,clinic,3.149977,378.916818,E02,,,4427.174987,0,0,,,4427.174987,1533456.40944
204,0,439071376.549,152215.452343,6391,4807,R681,Goshute Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","Confederated Tribes of the Goshute Reservation, Nevada and Utah",H64681,true,WES,Western,Eastern Nevada Field Office,false,,,,Confederated Tribes of the Goshute Reservation,UT,"White Pine, NV/Juab & Tooele, UT",112086,112086,80,112086,60,52.1,8.3,28.6,1939,86,411,"Executive Order on May 20, 1912 and March 23, 1914","1934 IRA, constitution & bylaws adopted November 24, 1940 and approved November 25, 1940",5 member Business Council,"Agriculture, livestock, retail/service businesses, tourism, recreation",false,"No facilities on reservation, provided by Wendover, NV or Ely, UT",169.525718,108494.534779,H64,,,152215.452437,0,0,,,152215.452437,439071376.607
205,0,8202657.97271,17136.665064,6393,4805,R681,Goshute Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,CENSUS2000,"1:500,000","Confederated Tribes of the Goshute Reservation, Nevada and Utah",H64681,true,WES,Western,Eastern Nevada Field Office,false,,,,Confederated Tribes of the Goshute Reservation,UT,"White Pine, NV/Juab & Tooele, UT",112086,112086,80,112086,60,52.1,8.3,28.6,1939,86,411,"Executive Order on May 20, 1912 and March 23, 1914","1934 IRA, constitution & bylaws adopted November 24, 1940 and approved November 25, 1940",5 member Business Council,"Agriculture, livestock, retail/service businesses, tourism, recreation",false,"No facilities on reservation, provided by Wendover, NV or Ely, UT",3.167051,2026.876731,H64,,,17136.665353,0,0,,,17136.665353,8202657.92702
206,0,196746253.175,133428.807975,1294,9909,R406,Grand Portage Reservation,AIR,American Indian Reservation,LTM,"1:24,000","Minnesota Chippewa Tribe, Grand Portage Band, Minnesota",F53406,true,MID,Midwest,Minnesota Agency,true,OSGT406,,,Grand Portage Reservation Tribal Council,MN,Cook County  MN,47000,37679,7086,0,113,67.6,7.9,26.5,10808,308,790,1854,Constitution & bylaws ratified in 1936 under 1934 IRA,Business Committee governs locally & sends representative to Tribal Executive Committee,"Construction, fisheries, forestry, government as employer, sawmill, tourism",true,Hospital & dental clinic,75.963846,48615.998623,F53,,,133428.808071,0,0,,,133428.808071,196746253.066
207,0,149211.549684,1547.282866,1355,9848,R406,Grand Portage Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,LTM,"1:24,000","Minnesota Chippewa Tribe, Grand Portage Band, Minnesota",F53406,true,MID,Midwest,Minnesota Agency,true,OSGT406,,,Grand Portage Reservation Tribal Council,MN,Cook County  MN,47000,37679,7086,0,113,67.6,7.9,26.5,10808,308,790,1854,Constitution & bylaws ratified in 1936 under 1934 IRA,Business Committee governs locally & sends representative to Tribal Executive Committee,"Construction, fisheries, forestry, government as employer, sawmill, tourism",true,Hospital & dental clinic,0.05761,36.870038,F53,,,1547.282826,0,0,,,1547.282826,149211.534518
208,0,42601653.7507,58950.925876,1356,9847,R141,Grand Ronde Reservation,AIR,American Indian Reservation,CENSUS2000,"1:500,000",Confederated Tribes of the Grand Ronde Community of Oregon,P01141,true,NWT,Northwest,Siletz Field Office,true,OSGT141,,,Confed.Tribes of the Grande Ronde Tribal Council,OR,Polk OR,10300,10300,0,10300,0,0,0,0,0,198,3080,Executive Order 1857,Restoration Act 1983,Tribal council headed by a chairperson,Forestry; government; construction,true,clinic,16.448524,10526.868902,P01,,,58950.925865,0,0,,,57306.129323,42601653.6596
209,0,1169565.77394,16049.326639,1878,9325,R468,Grand Traverse Reservation,AIR,American Indian Reservation,LTM,"1:24,000","Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",F60468,true,MID,Midwest,Michigan Agency,true,OSGT474,,,Grand Traverse Band of Ottawa and Chippewa Indians,MI,Antrim; Benzie;  Charlevoix;  Grand Traverse;  Leelanau;  Mainstee  MI,450,0,0,450,0,59,0.2,0,0,952,2357,"1855, federal recognition in 1980",Constitution adopted in 1988,Tribal Council,"Fishing, construction, retail/service businesses,",true,"Clinic, more comprehensive care available in Traverse City",0.451571,289.000449,F60,,,16049.32694,0,0,,,16049.32694,1169565.77333
210,0,988891.490404,8039.135681,1827,9376,R468,Grand Traverse Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,LTM,"1:24,000","Grand Traverse Band of Ottawa and Chippewa Indians, Michigan",F60468,true,MID,Midwest,Michigan Agency,true,OSGT474,,,Grand Traverse Band of Ottawa and Chippewa Indians,MI,Antrim; Benzie;  Charlevoix;  Grand Traverse;  Leelanau;  Mainstee  MI,450,0,0,450,0,59,0.2,0,0,952,2357,"1855, federal recognition in 1980",Constitution adopted in 1988,Tribal Council,"Fishing, construction, retail/service businesses,",true,"Clinic, more comprehensive care available in Traverse City",0.381811,244.354599,F60,,,8039.135745,0,0,,,8039.135745,988891.492576
211,0,9796.86117,395.925418,6373,4825,R622,Graton Rancheria,FRTE,Federally Recognized Tribal Entity,GDSC,"1:24,000","Federated Indians of Graton Rancheria, California (formerly the Graton Rancheria)",J51622,true,PAC,Pacific,Central California Agency,false,,,,Lower Lake Rancheria,CA,Sonoma CA,0,0,0,0,0,0,0,0,0,0,366,,,Tribal Council(4 officers and 3 council members) elected to 2 yr terms and who meet once a month,,false,,0.003783,2.420927,J51,,,395.9254,0,0,,,395.9254,9796.860288
212,0,1535324.46159,4472.119347,72,11131,Z183,Grayling,ANV,Alaska Native Village,TIGER95,"1:100,000",Organized Village of Grayling (aka Holikachuk),E03183,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.",Hee-Yea-Lindge Corporation,AK,unorganized borough AK,92160,0,0,0,81,46.7,0,29.6,5776,208,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1969),Indian Reorganization Act village council,Subsistence; construction; government; retail; tourism; transportation,false,clinic,10.661953,379.378506,E03,,,4472.119354,0,0,,,4472.119354,1535324.47086
213,0,319154.279606,2651.517838,6243,4956,R545,Greenville Rancheria,AIR,American Indian Reservation,TIGER95,"1:100,000",Greenville Rancheria of Maidu Indians of California,J51545,true,PAC,Pacific,Central California Agency,false,,,,Greenville Rancheria of Maidu Indians,CA,Plumas; Tehama CA,51,0,4,51,174,0,0,33.9,0,25,144,Terminated 1964; restored 1983; tribe purchased land 1994,Non-IRA constitution being drafted,Tribal council headed by a chairperson,Forestry; construction,false,two clinics,0.123226,78.862942,J51,,,2651.517953,0,0,,,2651.517953,319154.307575
214,0,349021.707383,2472.586622,6251,4948,R519,Grindstone Indian Rancheria,AIR,American Indian Reservation,TIGER95,"1:100,000",Grindstone Indian Rancheria of Wintun-Wailaki Indians of California,J51519,true,PAC,Pacific,Central California Agency,false,,,,Grindstone Indian Rancheria of Wintun-Wailaki,CA,Glenn CA,120,20,0,80,6,0,0,58.8,2679,98,168,1906,,Business Committee  & General Council (21+),Agriculture; forestry,false,,0.134758,86.243349,J51,,,2472.58664,0,0,,,2472.58664,349021.713286
215,0,331676.466253,2589.94747,6290,4909,R505,Guidiville Rancheria,AIR,American Indian Reservation,GDSC,"1:24,000",Guidiville Rancheria of California,J51505,true,PAC,Pacific,Central California Agency,false,,,,Guidiville Rancheria,CA,Mendocino CA,0,0,0,0,0,0,0,0,0,0,0,Restored 1992,,,,false,,0.128061,81.957381,J51,,,2589.9475,0,0,,,2589.9475,331676.475711
216,0,162238.061955,3222.042547,6289,4910,R505,Guidiville Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,CENSUS2000,"1:500,000",Guidiville Rancheria of California,J51505,true,PAC,Pacific,Central California Agency,false,,,,Guidiville Rancheria,CA,Mendocino CA,0,0,0,0,0,0,0,0,0,0,0,Restored 1992,,,,false,,0.06264,40.089054,J51,,,3222.04235,0,0,,,3222.04235,162238.059496
217,0,1534173.07399,4461.152344,180,11023,Z185,Gulkana,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Gulkana Village,E01185,true,ALA,Alaska,Anchorage Field Office,true,OSGT807,Copper River Native Assn.,"Ahtna, Incorporated","Ahtna, Inc.",AK,unorganized borough AK,92160,0,0,0,44,44.2,0,27.3,11276,113,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Traditional village council,Subsistence; government; construction ;manufacturing; retail; transportation,false,clinic,8.208865,379.094169,E01,,,4461.152346,0,0,,,4461.152346,1534173.08703
218,0,1534008.85818,4470.386241,41,11162,Z189,Hamilton,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Hamilton,E02189,true,ALA,Alaska,Bethel Field Office,true,OSGT812,Assoc. Village Council Presidents,,Native Village Of Hamilton,AK,AK,0,0,0,0,0,0,0,0,0,0,0,Alaska Native Claims Settlement Act (1971),,,,false,,4.592075,379.053637,E02,,,4470.386249,0,0,,,4470.386249,1534008.85904
219,0,13775893.7187,63015.110557,1695,9508,R471,Hannahville Community,AIR,American Indian Reservation,LTM,"1:24,000","Hannahville Indian Community, Michigan",F60471,true,MID,Midwest,Michigan Agency,false,,,,Hannahville Indian Community,MI,Menominee  MI,4025,0,0,3200,86,54.3,0,14,4625,196,0,"Congressional Act of June 30, 1913","1934 IRA, constitution & bylaws adopted Ju7ly 23, 1936",12 Member Tribal Council,"Construction, government as employer, tourism",true,"IHS health clinic, hospital in Escanaba",5.562967,3404.025675,F60,,,63015.110284,0,0,,,63015.110284,13775893.7546
220,0,4539574.77498,12075.393083,1706,9497,R471,Hannahville Community Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,CENSUS2000,"1:500,000","Hannahville Indian Community, Michigan",F60471,true,MID,Midwest,Michigan Agency,false,,,,Hannahville Indian Community,MI,Menominee  MI,4025,0,0,3200,86,54.3,0,14,4625,196,0,"Congressional Act of June 30, 1913","1934 IRA, constitution & bylaws adopted Ju7ly 23, 1936",12 Member Tribal Council,"Construction, government as employer, tourism",true,"IHS health clinic, hospital in Escanaba",1.752734,1121.729579,F60,,,12075.393039,0,0,,,12075.393039,4539574.79017
221,0,711523793.743,212039.488471,7321,3869,R605,Havasupai Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","Havasupai Tribe of the Havasupai Reservation, Arizona",H68605,true,WES,Western,Truxton Canyon Field Office,false,,,,Havasupai Tribe,AZ,"Coconino, AZ",188077,188077,0,0,151,38.1,0,17.2,4112,433,430,1880 & enlarged in 1974,,7 member Tribal Council,"Agriculture, tourism, construction, service businesses, government as employer",false,"USPHS clinic, additional services in Peach Springs",274.719765,175817.530439,H68,,,212039.489074,0,0,,,212039.489074,711523794.17
222,0,1535301.03203,4489.578812,146,11057,Z634,Healy Lake,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Healy Lake Village,E03634,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.",Mendas Chaag Native Corporation,AK,unorganized borough AK,69120,0,0,0,6,77.3,9.1,33.3,5845,47,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Village council,Subsistence; tourism; mining; retail,false,"none, closest health care is in Delta Junction, 29 miles away",74.337133,379.372897,E03,,,4489.578796,0,0,,,4489.578796,1535301.0195
223,0,34980002.5013,127362.557599,1902,9301,R441,Ho-Chunk Nation,AIR,American Indian Reservation,LTM,"1:24,000",Ho-Chunk Nation of Wisconsin,F55439,true,MID,Midwest,Great Lakes Agency,false,,,,Ho-Chunk Nation,WI,Dane; Sauk; Monroe; La Crosse; Wood; Clark; Shawano; Columbia; Juneau; Vernon; Jackson; Eau Claire; Marathon WI; Houston  MN,8333,4507,3826,4507,1820,69,20,29.6,4376,526,4950,1812,Winnebago adopted tribal constitution 3/19/1963; Ho-Chunk Nation new tribal constitution 11/1/1994,"General Council, Legislative, Executive & Judiciary","Construction, tourism, government as employer, retail/service businesses",true,"Health care center, hospitals in surrounding areas",13.505797,8643.556874,F55,,,127362.559147,0,0,,,126556.411404,34980002.6319
224,0,6243753.74988,45595.735297,1475,9728,R441,Ho-Chunk Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,LTM,"1:24,000",Ho-Chunk Nation of Wisconsin,F55439,true,MID,Midwest,Great Lakes Agency,false,,,,Ho-Chunk Nation,WI,Dane; Sauk; Monroe; La Crosse; Wood; Clark; Shawano; Columbia; Juneau; Vernon; Jackson; Eau Claire; Marathon WI; Houston  MN,8333,4507,3826,4507,1820,69,20,29.6,4376,526,4950,1812,Winnebago adopted tribal constitution 3/19/1963; Ho-Chunk Nation new tribal constitution 11/1/1994,"General Council, Legislative, Executive & Judiciary","Construction, tourism, government as employer, retail/service businesses",true,"Health care center, hospitals in surrounding areas",2.410717,1542.831421,F55,,,45595.73491,0,0,,,45144.91901,6243753.73048
225,0,2081467.95708,7156.718884,299,10904,R106,Hoh Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","Hoh Indian Tribe of the Hoh Indian Reservation, Washington",P06106,true,NWT,Northwest,Olympic Peninsula Agency,false,,,,Hoh Indian Tribe,WA,Clallam WA,443,443,0,443,32,0,0,0,4064,116,0,Established 1893,Constitution adopted by Public Law 89-655,Tribal governing body,Fishing; agriculture; government; tourism,false,hospital in Forks; clinic in Queets,0.803657,514.331188,P06,,,7156.71891,0,0,,,7156.71891,2081467.95148
226,0,2102066.01537,10751.706512,11050,4,TY21,Hollywood (Dania) Reservation,AIR,American Indian Reservation,CENSUS2000,"1:500,000",Seminole Tribe of Florida,S53021,true,EAS,Eastern,Seminole Agency,false,,,,Seminole Tribe of Florida,FL,"Hendry, FL",480,540,0,0,249,60.9,0,0,4382,80,0,Lands purchased in 1930s by Bureau of Indian Affairs,"Organized under IRA of 1934, federally recognized in 1957, ratified constitution in 1957","5 member Tribal Council, Seminole Tribe of Florida, Inc.","Agriculture, livestock, citrus crops, tobacco sales, government as employer, construction, tourism",true,Clinic available,0.811609,519.420762,S53,,,10751.706328,0,0,,,10751.706328,2102066.03307
227,0,1534007.1923,4460.079655,85,11118,Z195,Holy Cross,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Holy Cross Village,E03195,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.","Delaycheet, Inc.",AK,unorganized borough AK,138727,0,0,0,70,0,0,38.6,0,277,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1968),Traditional council headed by a chief,Fishing; subsistence; government; construction; retail,false,clinic,37.44106,379.053185,E03,,,4460.079665,0,0,,,4460.079665,1534007.20542
228,0,1527374.93995,4414.901083,214,10989,Z198,Hoonah,ANV,Alaska Native Village,TIGER95,"1:100,000",Hoonah Indian Association,E09198,true,ALA,Alaska,Southeast Agency,false,,,Sealaska Corporation,Huna Totem Corporation,AK,unorganized borough AK,23040,0,0,0,377,75.1,10.3,14.9,13610,795,0,Alaska Native Claims Settlement Act (1971),Incorporated as a first-class city (1946),Indian Reorganization Act village council,Fishing; logging; construction; government; manufacturing; retail; tourism; transportation,false,clinic,1.460514,377.414299,E09,,,4414.901086,0,0,,,4414.901086,1527374.94286
229,0,366765858.526,76797.06499,2073,9126,R561,Hoopa Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","Hoopa Valley Tribe, California",J52561,true,PAC,Pacific,No. California Field Office,true,OSGT561,,,Hoopa Valley Tribe,CA,Humboldt CA,85445,83798,2250,0,591,61.8,3.9,29.6,5936,2199,0,Executive Order 1876,Non-IRA constitution & by-laws adopted 1934,Tribal council headed by a chairperson,Forestry; agriculture; fishing; construction; government; mining (sand & gravel); retail; tourism,true,clinic; nearest IHS hospital is in Hoopa,141.60852,90627.845083,J52,,,76797.065016,0,0,,,76797.065016,366765858.64
230,0,1535269.17795,4452.819211,46,11157,Z199,Hooper Bay,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Hooper Bay,E02199,true,ALA,Alaska,Bethel Field Office,true,OSGT812,Assoc. Village Council Presidents,Calista Corporation,Paimiut Corporation,AK,unorganized borough AK,161280,0,0,0,271,60.2,1.4,41.7,4351,845,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1966),Traditional village council,Fishing; public service; government; retail; manufacturing,false,clinic,8.512507,379.365135,E02,,,4452.819232,0,0,,,4452.819232,1535269.18783
231,0,6321004796.99,575396.114481,7332,3858,R608,Hopi Reservation,AIR,American Indian Reservation,GDSC,"1:24,000",Hopi Tribe of Arizona,H65608,true,WES,Western,Hopi Agency,false,,,,Hopi Tribe,AZ,"Coconino & Navajo, AZ",1561213,1561213,0,0,2170,62.6,3.3,26.8,4566,7215,7785,"Executive Order of December 16, 1882","1934 IRA, constitution adopted December 19, 1936; federal recognition in 1955",Tribal Council,"Agriculture, livestock, construction, government as employer, indus. park, mfg, coal mining, tourism",false,Two clinics in Second Mesa and two hospitals in Keams Canyon and Tuba City,2440.54373,1561920.27575,H65,,,575396.114558,0,0,,,575396.114558,6321004797.15
232,0,147379.794009,4372.593162,6314,4884,R521,Hopland Rancheria,AIR,American Indian Reservation,TIGER95,"1:100,000","Hopland Band of Pomo Indians of the Hopland Rancheria, California",J51521,true,PAC,Pacific,Central California Agency,false,,,,Hopland Band of Pomo Indians,CA,Mendocino CA,63,0,0,0,125,60,10.9,70,3164,291,350,Departmental order 1907,,Tribal council headed by a chairperson; General Council,Agriculture,true,,0.056904,36.417851,J51,,,4372.593515,0,0,,,4372.593515,147379.846722
233,0,9797.56926,395.939726,578,10625,T019,Houlton Band of Maliseet,FRTE,Federally Recognized Tribal Entity,GDSC,"1:24,000",Houlton Band of Maliseet Indians of Maine,S00019,true,EAS,Eastern,Eastern Regional Office,false,,,,Houlton Maliseet Band of Indians,ME,"Aroostook, ME",800,0,0,0,0,0,0,0,0,0,570,1980 Maine Indian Land Claims Settlement Act,Federally recognized in 1980,Chairman and 6-member Tribal Council,"Agriculture leases, government as employer",false,IHS health services available,0.264505,2.420927,S00,,,395.9398,0,0,,,395.9398,9797.572966
234,0,4154560385.43,471070.336714,7325,3865,R606,Hualapai Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona",H68606,true,WES,Western,Truxton Canyon Field Office,false,,,,Hualapai Tribe,AZ,"Mohave, Coconino & Yavapai, AZ",992463,1680,0,0,284,53.9,1.3,32.4,3630,833,1872,"Executive Order on January 4, 1883","1934 IRA, constitution & bylaws adopted in 1938, ratified new constitution in 1970",9 member Tribal Council,"Cattle ranching, timber sales, government as employer, small businesses, tourism",false,IHS clinic,1604.078254,1026591.86883,H68,,,471070.336599,0,0,,,471046.566119,4154560385.53
235,0,1535334.02664,4537.56873,61,11142,Z205,Hughes,ANV,Alaska Native Village,TIGER95,"1:100,000",Hughes Village,E03205,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.","K'oyitl'ots'ina, Ltd.",AK,unorganized borough AK,69120,0,0,0,26,51.7,0,15.4,5531,54,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1973),Traditional village council headed by a chief,Subsistence; government; public service; transportation,false,clinic,2.452996,379.381216,E03,,,4537.56871,0,0,,,4537.56871,1535334.00717
236,0,499131.257571,3252.169612,6244,4955,R478,Huron Potawatomi Reservation,AIR,American Indian Reservation,TIGER95,"1:100,000","Huron Potawatomi, Inc., Michigan",F60478,true,MID,Midwest,Michigan Agency,false,,,,"Huron Potawatomi, Inc.",MI,Calhoun  MI,120,132,0,0,0,40,0,0,0,50,812,1845 and 1848,"Constitution ratified on July 17, 1970 under state of Michigan charter",Tribal Council,Gaming,true,"Health care served in Athens & Union City, hospitals in Battle Creek",0.192715,123.335113,F60,,,3252.169672,0,0,,,3252.169672,499131.259035
237,0,1534018.99625,4527.151831,52,11151,Z210,Huslia,ANV,Alaska Native Village,TIGER95,"1:100,000",Huslia Village,E03210,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.","K'oyitl'ots'ina, Ltd.",AK,unorganized borough AK,69120,0,0,0,65,51.1,3.2,38.5,5734,207,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1969),Traditional village council headed by a chief,Subsistence; government; construction; retail,false,clinic,16.025549,379.056116,E03,,,4527.151812,0,0,,,4527.151812,1534018.98838
238,0,1525932.35084,4399.13543,225,10978,Z211,Hydaburg,ANV,Alaska Native Village,TIGER95,"1:100,000",Hydaburg Cooperative Association,E09211,true,ALA,Alaska,Southeast Agency,false,,,Sealaska Corporation,Haida Corporation,AK,unorganized borough AK,25245,0,0,0,133,66.7,2.7,21.8,7624,384,0,Alaska Native Claims Settlement Act (1971),Incorporated as a first-class city (1927),Indian Reorganization Act council,Fishing; subsistence; construction; manufacturing; retail; transportation,false,clinic,0.501561,377.057936,E09,,,4399.135409,0,0,,,4399.135409,1525932.34178
